mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_max_features,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.23998570442199707,0.0062076213056316614,0.004560550053914388,0.00023241245060361723,0.05,3,sqrt,100,0.8,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 100, 'subsample': 0.8}",-1673598.1627473345,-1534528.073502319,-1572679.5782247973,-1593601.93815815,58671.01095396105,509
0.2579648494720459,0.010035111498486089,0.005144516626993815,0.001074653883960904,0.05,3,sqrt,100,1.0,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 100, 'subsample': 1.0}",-1728732.4841692606,-1524315.6794456919,-1574212.5832536793,-1609086.9156228772,87020.0046234442,512
0.41390474637349445,0.018890811086721058,0.00562588373819987,0.00017785560805231597,0.05,3,sqrt,200,0.6,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 200, 'subsample': 0.6}",-1413207.496211285,-1308929.6676862969,-1355752.6659157886,-1359296.60993779,42644.937447837954,463
0.4578416347503662,0.013501911567939548,0.005845467249552409,0.00018711695373428385,0.05,3,sqrt,200,0.7,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 200, 'subsample': 0.7}",-1426740.4342993468,-1286131.2259687704,-1361624.2223013886,-1358165.2941898352,57455.55096245284,462
0.5119705200195312,0.006692353306570405,0.008315165837605795,0.002856979853405316,0.05,3,sqrt,200,0.8,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 200, 'subsample': 0.8}",-1397273.4396760417,-1281573.2396844085,-1378565.1506729526,-1352470.6100111343,50710.4713630196,460
0.5357580979665121,0.010016683836147422,0.005956252415974935,0.00028709777085508554,0.05,3,sqrt,200,1.0,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 200, 'subsample': 1.0}",-1421037.6461982985,-1242056.5261205265,-1334752.384399939,-1332615.5189062546,73084.3575679367,449
0.6533339023590088,0.011561255197013029,0.007589499155680339,0.00024461206579339174,0.05,3,sqrt,300,0.6,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 300, 'subsample': 0.6}",-1301589.881671351,-1207146.4355911375,-1279426.1440967564,-1262720.8204530815,40325.277477090254,417
0.7080549399058024,0.01696764873064115,0.007723172505696614,0.00012196010798942031,0.05,3,sqrt,300,0.7,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 300, 'subsample': 0.7}",-1313292.7801786286,-1186894.8790673118,-1291738.7537697107,-1263975.471005217,55209.94628828204,418
0.7599426905314127,0.014256328522770673,0.00858012835184733,0.0013410068594150888,0.05,3,sqrt,300,0.8,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 300, 'subsample': 0.8}",-1290664.7308839085,-1181173.1613384364,-1290500.5214512825,-1254112.8045578757,51576.15990564357,413
1.2090249061584473,0.21091410938417365,0.00841824213663737,0.0011001105060259979,0.05,3,sqrt,300,1.0,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 300, 'subsample': 1.0}",-1305656.9085263787,-1155893.104580905,-1240546.9413473655,-1234032.3181515497,61314.10647690661,386
