mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.2589312394460044,0.37297335143087745,0.08756518363952637,0.0278944678797321,squared_error,10,sqrt,4,2,400,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 400}",-1375014.9824146507,-1331889.9310031706,-1303996.5992344946,-1336967.1708841054,29214.567838520634,383
0.7264520327250162,0.1573852018238453,0.02643267313639323,0.010780476091344951,squared_error,10,sqrt,4,5,100,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-1418995.040627667,-1340858.1064215144,-1325919.1180413028,-1361924.0883634947,40813.50705922894,441
0.9698665936787924,0.04030234029174318,0.035422563552856445,7.794014816249507e-05,squared_error,10,sqrt,4,5,200,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-1382593.0305962283,-1332478.055851826,-1292992.268762973,-1336021.1184036757,36665.0523837953,375
1.3741317590077717,0.01575121818780133,0.054910898208618164,0.002988219220746608,squared_error,10,sqrt,4,5,300,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",-1380862.6348236536,-1333117.9033112614,-1310338.9109816079,-1341439.816372174,29386.3866881966,387
1.8536869684855144,0.029664514899612988,0.07021125157674153,0.004067055579089073,squared_error,10,sqrt,4,5,400,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 400}",-1375014.9824146507,-1331889.9310031706,-1303996.5992344946,-1336967.1708841054,29214.567838520634,383
0.46761449178059894,0.015137856866433782,0.019931713740030926,0.0006215680829927328,squared_error,10,sqrt,4,10,100,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-1370916.3998215015,-1370350.11153156,-1329595.0149004494,-1356953.8420845037,19346.99355235053,433
0.9127055803934733,0.01306364924232531,0.03592761357625326,0.0012072257727396983,squared_error,10,sqrt,4,10,200,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",-1376300.7220326508,-1356782.587628936,-1316148.3435658065,-1349743.8844091312,25056.39859818895,413
1.679053544998169,0.3370368107988549,0.04992135365804037,0.0014321656905762696,squared_error,10,sqrt,4,10,300,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",-1391650.7095985343,-1354184.6454002745,-1315954.723120816,-1353930.0260398749,30903.281546061768,423
2.0076979796091714,0.252342949394395,0.06749796867370605,0.00035815047121082324,squared_error,10,sqrt,4,10,400,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 400}",-1395638.2827918301,-1348740.202904986,-1320106.02937726,-1354828.1716913588,31134.951950378818,431
0.5299266974131266,0.004890360082106753,0.02317325274149577,0.0001572474109607915,squared_error,10,log2,1,2,100,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-1277622.0088366042,-1269326.424623058,-1268592.4484961175,-1271846.9606519265,4094.5546270008476,159
