mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_n_iter_no_change,param_solver,param_tol,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
10.480650822321573,0.5153122664458272,0.006449302037556966,0.0014202279348028348,relu,1e-05,"(256,)",0.0005,500,10.0,adam,0.001,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0005, 'max_iter': 500, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.001}",-4492959.425512277,-4492229.9415243715,-4545268.348595393,-4510152.571877346,24832.389703851073,323
10.066233237584433,0.3466073582634559,0.006975094477335612,0.0015494626678015833,relu,1e-05,"(256,)",0.0005,500,10.0,adam,0.0001,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0005, 'max_iter': 500, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.0001}",-4492959.425512277,-4492229.9415243715,-4545268.348595393,-4510152.571877346,24832.389703851073,323
4.810862382253011,0.5976992026553423,0.004705349604288737,3.174480684199012e-05,relu,1e-05,"(64, 64)",0.001,300,10.0,adam,0.001,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.001, 'max_iter': 300, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.001}",-2248033.1342064664,-2169802.1668947143,-2022097.4583013162,-2146644.2531341654,93680.12645517019,147
4.258853832880656,0.2560416520805363,0.005121548970540364,0.000324994074058688,relu,1e-05,"(64, 64)",0.001,300,10.0,adam,0.0001,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.001, 'max_iter': 300, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.0001}",-2248033.1342064664,-2169802.1668947143,-2022097.4583013162,-2146644.2531341654,93680.12645517019,147
7.728712717692058,0.6084120874178434,0.005021413167317708,7.82333511199142e-05,relu,1e-05,"(64, 64)",0.001,500,10.0,adam,0.001,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.001, 'max_iter': 500, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.001}",-1774733.745451205,-1712476.609989415,-1638252.3917872815,-1708487.5824093006,55789.630041555356,55
7.763435284296672,0.5989341581082943,0.004995505015055339,0.00013353956833105993,relu,1e-05,"(64, 64)",0.001,500,10.0,adam,0.0001,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.001, 'max_iter': 500, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.0001}",-1774733.745451205,-1712476.609989415,-1638252.3917872815,-1708487.5824093006,55789.630041555356,55
4.225181579589844,0.18298086695548402,0.007042884826660156,0.003173203575943929,relu,1e-05,"(64, 64)",0.0005,300,10.0,adam,0.001,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.0005, 'max_iter': 300, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.001}",-2685390.257685878,-2750151.3142793905,-2411470.3592286613,-2615670.6437313096,146791.95199555732,229
4.853041410446167,0.4149549724142322,0.004694541295369466,9.222934082093961e-05,relu,1e-05,"(64, 64)",0.0005,300,10.0,adam,0.0001,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.0005, 'max_iter': 300, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.0001}",-2685390.257685878,-2750151.3142793905,-2411470.3592286613,-2615670.6437313096,146791.95199555732,229
7.4092921415964765,0.5314235999920127,0.008104244867960611,0.003968795571057635,relu,1e-05,"(64, 64)",0.0005,500,10.0,adam,0.001,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.0005, 'max_iter': 500, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.001}",-2301987.7540196497,-2270544.1952179903,-2095494.3565318969,-2222675.4352565124,90842.1504100968,173
7.7710747718811035,0.40632577537255965,0.008316755294799805,0.004763005340531109,relu,1e-05,"(64, 64)",0.0005,500,10.0,adam,0.0001,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.0005, 'max_iter': 500, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.0001}",-2301987.7540196497,-2270544.1952179903,-2095494.3565318969,-2222675.4352565124,90842.1504100968,173
