mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,param_kernel,param_shrinking,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.16765991846720377,0.005972707243340262,0.10762254397074382,0.005684654948863944,0.1,0.05,0.1,rbf,True,"{'C': 0.1, 'epsilon': 0.05, 'gamma': 0.1, 'kernel': 'rbf', 'shrinking': True}",-6231353.874894726,-5725017.905784925,-5963548.0134981135,-5973306.598059255,206825.93467787988,429
0.16022165616353354,0.0011735669549235148,0.10316061973571777,0.0009154731391715432,0.1,0.05,0.1,rbf,False,"{'C': 0.1, 'epsilon': 0.05, 'gamma': 0.1, 'kernel': 'rbf', 'shrinking': False}",-6231353.874894726,-5725017.905784925,-5963548.0134981135,-5973306.598059255,206825.93467787988,429
0.11617875099182129,0.0009060648837505679,0.042056639989217125,0.00026677624455961326,0.1,0.05,0.1,linear,True,"{'C': 0.1, 'epsilon': 0.05, 'gamma': 0.1, 'kernel': 'linear', 'shrinking': True}",-5550611.034281911,-5179231.522678019,-5369608.421563809,-5366483.659507913,151631.15008294737,349
0.12482611338297527,0.0047934327793735755,0.041088263193766274,0.0008448436128212763,0.1,0.05,0.1,linear,False,"{'C': 0.1, 'epsilon': 0.05, 'gamma': 0.1, 'kernel': 'linear', 'shrinking': False}",-5550611.034281911,-5179231.522678019,-5369608.421563809,-5366483.659507913,151631.15008294737,349
0.16228691736857095,0.0006199383511678533,0.10469706853230794,0.0013969812068560766,0.1,0.1,scale,rbf,True,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",-6225041.133307208,-5720433.14866707,-5960141.109182253,-5968538.463718844,206090.9042357367,399
0.16161863009134927,0.0017563909098709928,0.10411453247070312,0.001301408740371743,0.1,0.1,scale,rbf,False,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': False}",-6225041.133307208,-5720433.14866707,-5960141.109182253,-5968538.463718844,206090.9042357367,399
0.1220254898071289,0.004478867250917692,0.04571660359700521,0.005416438897962975,0.1,0.1,scale,linear,True,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'shrinking': True}",-5550552.938029628,-5179273.093068663,-5369571.177620992,-5366465.736239761,151590.26715280634,343
0.11686094601949056,0.001034895005340956,0.04274447758992513,0.0015341492915430688,0.1,0.1,scale,linear,False,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'shrinking': False}",-5550552.938029628,-5179273.093068663,-5369571.177620992,-5366465.736239761,151590.26715280634,343
0.16129390398661295,0.001229298221585851,0.10445205370585124,0.0006440423671475018,0.1,0.1,auto,rbf,True,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': True}",-6225100.241260385,-5720566.696041597,-5960266.918580822,-5968644.618627601,206060.1270767266,409
0.17361871401468912,0.010707870340462139,0.10548051198323567,0.0023059087889997377,0.1,0.1,auto,rbf,False,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': False}",-6225100.241260385,-5720566.696041597,-5960266.918580822,-5968644.618627601,206060.1270767266,409
0.11664470036824544,0.002277831326550252,0.04278882344563802,0.0005982955566554102,0.1,0.1,auto,linear,True,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'linear', 'shrinking': True}",-5550552.938029628,-5179273.093068663,-5369571.177620992,-5366465.736239761,151590.26715280634,343
0.11533919970194499,0.00039758161324477786,0.04388697942097982,0.0022459390335452458,0.1,0.1,auto,linear,False,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'linear', 'shrinking': False}",-5550552.938029628,-5179273.093068663,-5369571.177620992,-5366465.736239761,151590.26715280634,343
0.16375414530436197,0.005799127742490946,0.10425742467244466,0.0015916429154064129,0.1,0.1,0.1,rbf,True,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf', 'shrinking': True}",-6231353.874894726,-5725017.422514943,-5963548.013498117,-5973306.436969262,206826.12806190233,423
0.16495450337727866,0.008368757009917958,0.10502274831136067,0.00241691558495208,0.1,0.1,0.1,rbf,False,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf', 'shrinking': False}",-6231353.874894726,-5725017.422514943,-5963548.013498117,-5973306.436969262,206826.12806190233,423
0.11727507909138997,0.001231009287293862,0.04385813077290853,0.0009386871885535209,0.1,0.1,0.1,linear,True,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'linear', 'shrinking': True}",-5550552.938029628,-5179273.093068663,-5369571.177620992,-5366465.736239761,151590.26715280634,343
0.1176912784576416,0.001353379292926514,0.04270776112874349,0.0017204633386115281,0.1,0.1,0.1,linear,False,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'linear', 'shrinking': False}",-5550552.938029628,-5179273.093068663,-5369571.177620992,-5366465.736239761,151590.26715280634,343
0.17125932375590006,0.01216862367758626,0.10435962677001953,0.001915846461264996,0.1,0.2,scale,rbf,True,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",-6225041.133307208,-5720433.14866707,-5960141.1091822535,-5968538.463718844,206090.9042357367,399
0.1616674264272054,0.0015103506973933522,0.1036376158396403,0.0014026406523085827,0.1,0.2,scale,rbf,False,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': False}",-6225041.133307208,-5720433.14866707,-5960141.1091822535,-5968538.463718844,206090.9042357367,399
